Project ID,affected links
0,"(1, 2)"
1,"(1, 3)"
2,"(2, 1)"
3,"(2, 6)"
4,"(3, 1)"
5,"(3, 4)"
6,"(3, 12)"
7,"(4, 3)"
8,"(4, 5)"
9,"(4, 11)"
10,"(5, 4)"
11,"(5, 6)"
12,"(5, 9)"
13,"(6, 2)"
14,"(6, 5)"
15,"(6, 8)"
16,"(7, 8)"
17,"(7, 18)"
18,"(8, 6)"
19,"(8, 7)"
20,"(8, 9)"
21,"(8, 16)"
22,"(9, 5)"
23,"(9, 8)"
24,"(9, 10)"
25,"(10, 9)"
26,"(10, 11)"
27,"(10, 15)"
28,"(10, 16)"
29,"(10, 17)"
30,"(11, 4)"
31,"(11, 10)"
32,"(11, 12)"
33,"(11, 14)"
34,"(12, 3)"
35,"(12, 11)"
36,"(12, 13)"
37,"(13, 12)"
38,"(13, 24)"
39,"(14, 11)"
40,"(14, 15)"
41,"(14, 23)"
42,"(15, 10)"
43,"(15, 14)"
44,"(15, 19)"
45,"(15, 22)"
46,"(16, 8)"
47,"(16, 10)"
48,"(16, 17)"
49,"(16, 18)"
50,"(17, 10)"
51,"(17, 16)"
52,"(17, 19)"
53,"(18, 7)"
54,"(18, 16)"
55,"(18, 20)"
56,"(19, 15)"
57,"(19, 17)"
58,"(19, 20)"
59,"(20, 18)"
60,"(20, 19)"
61,"(20, 21)"
62,"(20, 22)"
63,"(21, 20)"
64,"(21, 22)"
65,"(21, 24)"
66,"(22, 15)"
67,"(22, 20)"
68,"(22, 21)"
69,"(22, 23)"
70,"(23, 14)"
71,"(23, 22)"
72,"(23, 24)"
73,"(24, 13)"
74,"(24, 21)"
75,"(24, 23)"
